Trial, Divers, PDCS Mild, PDCS Serious
90 90 2:00 Air 13 158 173:40 2 Z, 1, 0.057603, 0.007990
90 100 2:00 Air 19 185 206:40 2.5, 1, 0.062689, 0.008722
90 110 2:00 Air 25 224 251:40 3, 1, 0.065825, 0.009176
90 120 1:40 Air 2 28 256 288:20 3.5, 1, 0.068959, 0.009631
90 130 1:40 Air 5 28 291 326:20 3.5, 1, 0.072024, 0.010079
90 140 1:40 Air 8 28 330 368:20 4, 1, 0.074775, 0.010481
90 150 1:40 Air 11 34 378 425:20 4.5, 1, 0.076252, 0.010698
90 160 1:40 Air 13 40 418 473:20 4.5, 1, 0.078051, 0.010963
90 170 1:40 Air 15 45 451 513:20 5, 1, 0.080097, 0.011265
90 180 1:40 Air 16 51 479 548:20 5.5, 1, 0.082186, 0.011573
90 240 1:40 Air 42 68 592 704:20 7.5, 1, 0.095234, 0.013522
100 25 3:20 Air 0 3:20 0 H, 1, 0.013351, 0.001804
100 30 2:40 Air 3 6:20 0.5 J, 1, 0.016431, 0.002224
100 35 2:40 Air 15 18:20 0.5 L, 1, 0.020673, 0.002805
100 40 2:40 Air 26 29:20 1 M, 1, 0.025349, 0.003449
100 45 2:40 Air 36 39:20 1 N, 1, 0.030120, 0.004110
100 50 2:40 Air 47 50:20 1 O, 1, 0.035123, 0.004807
100 55 2:40 Air 65 68:20 1.5 Z, 1, 0.039933, 0.005480
100 60 2:40 Air 81 84:20 1.5 Z, 1, 0.044443, 0.006116
100 70 2:20 Air 11 124 138:00 2 Z, 1, 0.051881, 0.007171
100 80 2:20 Air 21 160 184:00 2.5 Z, 1, 0.058433, 0.008109
100 90 2:00 Air 2 28 196 228:40 2.5, 1, 0.063576, 0.008850
100 100 2:00 Air 9 28 241 280:40 3, 1, 0.067346, 0.009397
100 110 2:00 Air 14 28 278 322:40 3.5, 1, 0.071200, 0.009958
100 120 2:00 Air 19 28 324 373:40 4, 1, 0.074315, 0.010414
100 150 1:40 Air 3 26 46 461 538:20 5, 1, 0.080695, 0.011353
110 20 3:40 Air 0 3:40 0 H, 1, 0.011693, 0.001578
110 25 3:00 Air 5 8:40 0.5 I, 1, 0.014850, 0.002008
110 30 3:00 Air 14 17:40 0.5 K, 1, 0.019473, 0.002641
110 35 3:00 Air 27 30:40 1 M, 1, 0.024662, 0.003354
110 40 3:00 Air 39 42:40 1 N, 1, 0.029922, 0.004082
110 45 3:00 Air 50 53:40 1 O, 1, 0.035472, 0.004855
110 50 3:00 Air 71 74:40 1.5 Z, 1, 0.040763, 0.005597
110 55 2:40 Air 5 85 93:20 1.5 Z, 1, 0.045933, 0.006326
110 60 2:40 Air 13 111 127:20 2 Z, 1, 0.050302, 0.006946
110 70 2:40 Air 26 155 184:20 2.5 Z, 1, 0.057725, 0.008007
